,dtype
Avg_SO_per_year,float64
Avg_SO_Rolling_10,float64
Avg_SO_Rolling_5,float64
Avg_SO_Rolling_3,float64
Avg_StS_Rolling,float64
Avg_Str_Rolling,float64
Avg_SO_vs_Team,float64
Rolling_Avg_SO_vs_Team,float64
Std_SO_vs_Team,float64
Days_Since_Last_Game,float64
K/BB_lag,float64
pitcher_fatigue,int64
pitcher_momentum,float64
Avg_SO_at_venue,float64
Change_in_Strikeouts,float64
Strikeout_Volatility,float64
Rest_Effect,float64
Cumulative_Pitch_Count,float64
SO_y_lag,float64
AB_lag,float64
R_x_lag,float64
H_x_lag,float64
RBI_lag,float64
BB_x_lag,float64
SO_x_lag,float64
PA_lag,float64
BA_lag,float64
OBP_lag,float64
SLG_lag,float64
OPS_lag,float64
Pit_x_lag,float64
Str_x_lag,float64
WPA_x_lag,float64
WPA+_lag,float64
acLI_x_lag,float64
PO_lag,int64
A_lag,float64
IP_lag,float64
H_y_lag,float64
R_y_lag,float64
ER_lag,float64
BB_y_lag,float64
HR_lag,float64
ERA_lag,float64
BF_lag,float64
Pit_y_lag,float64
Str_y_lag,float64
Ctct_lag,float64
StS_lag,float64
StL_lag,float64
GB_lag,float64
FB_lag,float64
LD_lag,float64
Unk_lag,float64
GSc_lag,float64
IR_lag,float64
IS_lag,float64
WPA_y_lag,float64
acLI_y_lag,float64
Recent_Performance_Trend,float64
Year,int32
Month,int32
Day,int32
Team_Arizona Diamondbacks,float64
Team_Atlanta Braves,float64
Team_Baltimore Orioles,float64
Team_Boston Red Sox,float64
Team_Chicago Cubs,float64
Team_Chicago White Sox,float64
Team_Cincinnati Reds,float64
Team_Cleveland Guardians,float64
Team_Colorado Rockies,float64
Team_Detroit Tigers,float64
Team_Houston Astros,float64
Team_Kansas City Royals,float64
Team_Los Angeles Angels,float64
Team_Los Angeles Dodgers,float64
Team_Miami Marlins,float64
Team_Milwaukee Brewers,float64
Team_Minnesota Twins,float64
Team_New York Mets,float64
Team_New York Yankees,float64
Team_Oakland Athletics,float64
Team_Philadelphia Phillies,float64
Team_Pittsburgh Pirates,float64
Team_San Diego Padres,float64
Team_San Francisco Giants,float64
Team_Seattle Mariners,float64
Team_St. Louis Cardinals,float64
Team_Tampa Bay Rays,float64
Team_Texas Rangers,float64
Team_Toronto Blue Jays,float64
Team_Washington Nationals,float64
Player_AJ Smith-Shawver,float64
Player_Aaron Ashby,float64
Player_Aaron Civale,float64
Player_Aaron Nola,float64
Player_Aaron Sanchez,float64
Player_Adam Oller,float64
Player_Adam Wainwright,float64
Player_Adrian Houser,float64
Player_Adrian Martinez,float64
Player_Adrian Sampson,float64
Player_Alec Mills,float64
Player_Alek Manoah,float64
Player_Alex Cobb,float64
Player_Alex Faedo,float64
Player_Alex Wood,float64
Player_Alex Young,float64
Player_Andre Pallante,float64
Player_Andrew Abbott,float64
Player_Andrew Bellatti,float64
Player_Andrew Heaney,float64
Player_Andrew Wantz,float64
Player_Angel Zerpa,float64
Player_Anibal Sanchez,float64
Player_Anthony Banda,float64
Player_Anthony DeSclafani,float64
Player_Antonio Senzatela,float64
Player_Austin Davis,float64
Player_Austin Gomber,float64
Player_Austin Pruitt,float64
Player_Austin Voth,float64
Player_Bailey Falter,float64
Player_Bailey Ober,float64
Player_Beau Brieske,float64
Player_Ben Lively,float64
Player_Blake Snell,float64
Player_Bobby Miller,float64
Player_Brad Keller,float64
Player_Brady Singer,float64
Player_Brandon Bielak,float64
Player_Brandon Pfaadt,float64
Player_Brandon Williamson,float64
Player_Brandon Woodruff,float64
Player_Braxton Garrett,float64
Player_Brayan Bello,float64
Player_Brett Martin,float64
Player_Bruce Zimmermann,float64
Player_Brusdar Graterol,float64
Player_Bryan Baker,float64
Player_Bryan Garcia,float64
Player_Bryan Hoeing,float64
Player_Bryan Shaw,float64
Player_Bryan Woo,float64
Player_Bryce Elder,float64
Player_Bryce Miller,float64
Player_Bryse Wilson,float64
Player_Cade Cavalli,float64
Player_Cal Quantrill,float64
Player_Caleb Ferguson,float64
Player_Caleb Kilian,float64
Player_Caleb Smith,float64
Player_Calvin Faucher,float64
Player_Carlos Carrasco,float64
Player_Carlos Hernandez,float64
Player_Carlos Hernández,float64
Player_Carlos Rodon,float64
Player_Casey Mize,float64
Player_Chad Kuhl,float64
Player_Charlie Morton,float64
Player_Chase Anderson,float64
Player_Chase Silseth,float64
Player_Chi Chi Gonzalez,float64
Player_Chris Archer,float64
Player_Chris Bassitt,float64
Player_Chris Ellis,float64
Player_Chris Flexen,float64
Player_Chris Paddack,float64
Player_Chris Sale,float64
Player_Chris Stratton,float64
Player_Clarke Schmidt,float64
Player_Clayton Kershaw,float64
Player_Cody Bradford,float64
Player_Cody Morris,float64
Player_Cody Poteet,float64
Player_Cole Irvin,float64
Player_Cole Ragans,float64
Player_Cole Sands,float64
Player_Colin Rea,float64
Player_Collin McHugh,float64
Player_Connor Brogdon,float64
Player_Connor Overton,float64
